ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	NOTE
Wannemacher-2011-736-428	428	coconut shell ladle	2649	COCONUT SHELL LADLE	Same as sil-2002-436-212
Wannemacher-2011-736-429	429	head	1256	HEAD	
Wannemacher-2011-736-430	430	country	1300	COUNTRY	
Wannemacher-2011-736-431	431	thunder	1150	THUNDER	
Wannemacher-2011-736-432	432	that place			
Wannemacher-2011-736-433	433	is (location)	1579	BE	
Wannemacher-2011-736-434	434	work	1086	WORK (ACTIVITY)	
Wannemacher-2011-736-435	435	work	1086	WORK (ACTIVITY)	
Wannemacher-2011-736-436	436	said			
Wannemacher-2011-736-437	437	ok			
Wannemacher-2011-736-438	438	2nd per pl	1213	YOU	
Wannemacher-2011-736-439	439	2nd per pl accus	2312	YOU (OBLIQUE CASE OF YOU)	
Wannemacher-2011-736-440	440	2nd per sing poss	732	YOUR (SINGULAR)	
Wannemacher-2011-736-441	441	smell	2124	SMELL	
Wannemacher-2011-736-442	442	rib	801	RIB	
Wannemacher-2011-736-443	443	morning	1339	MORNING	
Wannemacher-2011-736-444	444	morning	1339	MORNING	
Wannemacher-2011-736-445	445	tomorrow	1329	TOMORROW	
Wannemacher-2011-736-446	446	horn of buffalo	1393	HORN (ANATOMY)	
Wannemacher-2011-736-447	447	shiver	52	SHIVER	
Wannemacher-2011-736-448	448	let	1003	PERMIT	
Wannemacher-2011-736-449	449	2nd per sing	1215	THOU	
Wannemacher-2011-736-450	450	2nd per sing accus	2304	THEE (OBLIQUE CASE OF YOU)	
Wannemacher-2011-736-451	451	here you are			
Wannemacher-2011-736-452	452	sink	1088	SINK (DESCEND)	
Wannemacher-2011-736-453	453	rest	168	REST	
Wannemacher-2011-736-454	454	sick	1847	SICK	
Wannemacher-2011-736-455	455	painful	1129	PAINFUL	
Wannemacher-2011-736-456	456	black	163	BLACK	
Wannemacher-2011-736-457	457	deep	1593	DEEP	
Wannemacher-2011-736-458	458	worship	257	WORSHIP	
Wannemacher-2011-736-459	459	buffalo	934	BUFFALO	
Wannemacher-2011-736-460	460	horn of buffalo	1393	HORN (ANATOMY)	
Wannemacher-2011-736-461	461	red	156	RED	
Wannemacher-2011-736-462	462	snail	1543	SNAIL	
