ID	COGID	POS	ALIGNMENT	CONCEPT	DOCULECT	ORIGINAL_CONCEPT	STEDT_SRCID	ORIGINAL_TAXNAME	ORIGINAL_ENTRY	MORPHEMES	NOTE	COGIDS	SOURCE	STEDT_GLOSS	CONCEPTICON_ID	STEDT_REFLEX	IPA	STEDT_CONCEPT	TOKENS	STEDT_RN
533	158	noun	s a̰ k ⁵⁵ + k ɔ̰ ʔ ⁵⁵	the branch	Maru	branch	0374.31	Langsu (Luxi) TBL	sa̱k⁵⁵ kɔ̱ʔ⁵⁵  | 0374.31	tree branch		113 114	TBL		1531	sa̱k⁵⁵kɔ̱ʔ⁵⁵	sa̱k⁵⁵kɔ̱ʔ⁵⁵	branch / twig	s a̰ k ⁵⁵ + k ɔ̰ ʔ ⁵⁵	364155
534	158	noun	ʂ ɯ k ⁵⁵ + x ɔ ʔ ⁵⁵	the branch	Xiandao	branch	0374.29	Achang (Xiandao) TBL	ʂɯk⁵⁵ xɔʔ⁵⁵  | 0374.29	tree branch		113 114	TBL		1531	ʂɯk⁵⁵xɔʔ⁵⁵	ʂɯk⁵⁵xɔʔ⁵⁵	branch / twig	ʂ ɯ k ⁵⁵ + x ɔ ʔ ⁵⁵	364153
545	1139	noun	n a u - ³⁵	the breast (female)	Bola	breast	0094.32	Bola (Luxi) TBL	nau³⁵  | 0094.32	breast-milk		116	TBL		1402	nau³⁵	nau³⁵	breast	n a u ³⁵	349851
551	1139	noun	n u - k ⁵⁵	the breast (female)	Maru	breast	0094.31	Langsu (Luxi) TBL	nuk⁵⁵  | 0094.31	milk-breast		116	TBL		1402	nuk⁵⁵	nuk⁵⁵	breast	n u k ⁵⁵	349850
573	610	verb	nʲ - e ³⁵	to burn [intransitive]	Achang_Longchuan	burn v.	1269.28	Achang (Longchuan) TBL	ȵe³⁵  | 1269.28	burn		122	TBL		1428	ȵe³⁵	ȵe³⁵	burn	nʲ e ³⁵	409089
574	610	verb	ŋ j e ⁵⁵	to burn [intransitive]	Atsi	burn v.	1269.30	Atsi [Zaiwa] TBL	ŋje⁵⁵  | 1269.30	hot-burn		122	TBL		1428	ŋje⁵⁵	ŋje⁵⁵	burn	ŋ j e ⁵⁵	409091
575	614	verb	t ɛ ʔ ³¹	to burn [intransitive]	Bola	burn v.	1269.32	Bola (Luxi) TBL	tɛʔ³¹  | 1269.32	burn		123	TBL		1428	tɛʔ³¹	tɛʔ³¹	burn	t ɛ ʔ ³¹	409093
577	614	verb	t a̰ː p ⁵⁵	to burn [intransitive]	Lashi	burn v.	1269.33	Leqi (Luxi) TBL	ta̱ːp⁵⁵  | 1269.33	burn		123	TBL		1428	ta̱ːp⁵⁵	ta̱ːp⁵⁵	burn	t a̰ː p ⁵⁵	409094
578	614	verb	t ɛ ʔ ³¹	to burn [intransitive]	Maru	burn v.	1269.31	Langsu (Luxi) TBL	tɛʔ³¹  | 1269.31	burn		123	TBL		1428	tɛʔ³¹	tɛʔ³¹	burn	t ɛ ʔ ³¹	409092
579	614	verb	tʂ a p ³⁵	to burn [intransitive]	Xiandao	burn v.	1269.29	Achang (Xiandao) TBL	tʂap³⁵  | 1269.29	burn		123	TBL		1428	tʂap³⁵	tʂap³⁵	burn	tʂ a p ³⁵	409090
