ID	CONTEXT	Achang_Longchuan	Atsi	Bola	Lashi	Maru	Old_Burmese	Rangoon	Xiandao	FREQUENCY	PROTO
23	N	-	-	i	-	-	Ø	-	i	1	-	
24	N	u	-	-	u	-	-	-	u	1	-	
25	N	Ø	-	Ø	i	i	Ø	Ø	Ø	1	i	
26	N	-	i	i	i	-	-	-	i	1	-	
27	N	-	-	u	-	-	Ø	Ø	-	1	-	
1	c	ʔ	ʔ	ʔ	ʔ	ʔ	k	ʔ	ʔ	21	*k	
2	c	-	-	-	-	k	j	-	-	19	*k	
3	c	-	-	-	-	-	j	-	-	13	*j	
4	c	-	-	-	-	k	w	-	-	7	-	
5	c	ŋ	ŋ	∼	ŋ	∼	ŋ	∼	ŋ	15	ŋ	
6	c	ʔ	-	-	-	k	Ø	-	-	5	*k	
7	c	ŋ	ŋ	ŋ	ŋ	ŋ	nʲ	-	ŋ	14	ŋ	
8	c	Ø	Ø	ʔ	ʔ	ʔ	-	ʔ	Ø	3	*ʔ	
9	c	ʔ	-	-	-	-	j	-	-	3	*j/ʔ	
10	c	-	-	-	-	k	-	-	-	3	*k	
11	c	t	ʔ	ʔ	Ø	ʔ	-	ʔ	t	2	ʔ	
12	c	ŋ	ŋ	∼	ŋ	∼	-	∼	ŋ	2	ŋ	
13	c	n	n	∼	n	ŋ	ŋ	∼	n	9	n	
14	c	Ø	-	-	k	-	Ø	Ø	Ø	2	*k	
15	c	p	p	ʔ	p	ʔ	p	ʔ	p	9	p	
16	c	m	m	m	m	m	m	∼	m	10	m	
17	c	-	Ø	∼	ŋ	Ø	n	∼	-	2	-	
18	c	k	k	k	k	k	ts	ʔ	k	7	*k	
19	c	t	t	t	t	t	t	ʔ	t	7	t	
20	c	Ø	ʔ	ʔ	k	ʔ	Ø	-	Ø	2	*k	
21	c	Ø	Ø	∼	m	∼	Ø	∼	Ø	2	∼	
22	c	n	n	n	n	ŋ	n	∼	n	6	n	
23	c	Ø	ʔ	ʔ	k	k	k	ʔ	Ø	3	*k	
24	c	ʔ	-	∼	-	-	-	-	-	2	*ʔ/∼	
25	c	m	m	∼	m	∼	m	∼	Ø	2	m	
26	c	ʔ	-	Ø	t	ʔ	Ø	Ø	ʔ	2	ʔ	
27	c	t	t	ʔ	t	ʔ	t	ʔ	t	2	t	
28	c	Ø	-	-	-	-	n	∼	Ø	2	-	
29	c	-	ʔ	ʔ	ʔ	k	Ø	ʔ	ʔ	2	*k	
