ID	CONTEXT	Achang_Longchuan	Atsi	Bola	Lashi	Maru	Old_Burmese	Rangoon	Xiandao	FREQUENCY	INFERRED	PROTO	COGNATES
104	n	a	a	ɛ	aː	ɛ	a	ɑ	a	1	*aː		291
105	n	Ø	a̰	ɔ̰̃	a̰	ɔ̰̃	a	ĩ	a	1	a̰		494
106	n	a	ḭ	a̰	ə̰	a̰	a	ɑ	ɔ	1	*a̰		429
107	n	u	u	ɔ	uː	a̰	u	o	u	1	u		205
108	n	Ø	i	i	e	i	Ø	e	n	1	i		526
109	n	ə	i	ɔ̰	ḭː	ḭ	Ø	Ø	a	1	ə		821
110	n	i	i	ɔ̰	ɛ̰	a̰	a	i	i	1	*a̰		336
111	n	a	a̰	ɔ̰̃	a̰ː	ɔ̃	a	ĩ	a	1	a		51
112	n	u	ṵ	a	ɔ	a	u	õ	u	1	u		430
113	n	i	i	i	e	u	Ø	Ø	i	1	i		504
114	n	ɔ	o	a	ŋ	ɔ	a	ɑ	ɔ	1	ɔ		91
115	n	a	u	u	aː	u	ə	Ø	a	1	u		444
116	n	Ø	ĕ	ə̆	u	ə̆	Ø	Ø	Ø	1	ə̆		489
117	n	ɔ	o	a	o̰	ɔ	a	ɑ	ɔ	1	*a		112
118	n	Ø	a	ɛ̃	a̰	a	Ø	Ø	a	1	a		487
119	n	o	a	a	o	ɔ	a	ɑ	o	1	*a		50
120	n	ă	ă	a	ə̆	ɔ	aj	ɛ	a	1	ă		761
121	n	Ø	Ø	ɿ	eː	i	i	e	ɿ	1	ɿ		177
122	n	i	i	ə	e	i	i	e	i	1	i		327
123	n	o	o	ɔ	ɔ̰ː	u	Ø	ɑ	o	1	o		36
124	n	Ø	i	i	eː	i	i	e	Ø	1	i		250
125	n	ə	ḭ	ḭ	ḭ	ḭ	a	ɛ	i	1	*ḭ		379
126	n	a	Ø	a	i	ɔ	Ø	i	a	1	*i		497
127	n	ə	i	a	ə̰ː	a̰	a	i	ɯ	1	i		325
128	n	Ø	Ø	ə	iː	ə	a	i	Ø	1	ə		292
129	n	u	a	ɔ̃	a	ɔ̃	Ø	Ø	o	1	a		259
130	n	Ø	a̰	ɛ̰̃	a̰	a̰	a	ɪ̃	Ø	1	a̰		573
131	n	Ø	u	Ø	əː	u	Ø	Ø	Ø	1	u		234
132	n	Ø	u	u	ə	ɔ	Ø	Ø	Ø	1	u		590
133	n	u	u	ṵ	u	a̰	Ø	u	u	1	u		555
134	n	e	i	ɛ	ɛ̰	ɛ	a	i	ɛ	1	ɛ		249
135	n	a	ă	a	a	a	a	i	a	1	a		405
136	n	ə	i	a	ə̰ː	a	a	e	ɤ	1	a		399
137	n	a	ŏ	ə̆	ə̆	ə̆	a	ɑ	ɔ̆	1	ə̆		278
138	n	o	u	u	ɿ	ɔ	Ø	Ø	u	1	u		113
139	n	ɔ	o	a	ɔ̰ː	ɔ	a	ɛ	ɔ	1	ɔ		520
140	n	Ø	Ø	ɛ̰̃	aː	ɛ̃	Ø	ɑ̃	Ø	1	ɛ̰̃		836
141	n	Ø	a	ɛ̃	o	ɛ	Ø	Ø	Ø	1	a		69
142	n	o	u	u	uː	u	u	u	u	1	u		180
143	n	Ø	a̰	ɔ̰̃	a̰	ɔ̃	Ø	Ø	Ø	1	*a̰		445
144	n	Ø	ṵ	a̰	ṵ	a̰	Ø	Ø	Ø	1	ṵ		654
145	n	a	a̰	ɔ̃	a	ɔ̃	Ø	Ø	a	1	*a̰		528
146	n	o	u	ɛ	əː	a	a	ɛ	u	1	u		127
147	n	ɔ	o	a	ə̆	ɔ	a	ɑ	ɔ̆	1	ɔ		467
148	n	i	e	a	ɛ	a	Ø	ɑ	ɛ	1	a		319
149	n	i	i	i	e	i	i	e	i	1	i		160
150	n	ə	i	a	ə̰	a	a	ɛ	ɯ	1	*i/ə̰		285
151	n	Ø	a	u	a	ɔ̃	Ø	Ø	ɔ	1	a		507
152	n	ə	e	a	eː	i	a	ɑ	ɔ	1	a		148
153	n	e	e	ɛ	ɛː	a	i	e	ɛ	1	e		95
154	n	ə	i	a	ə̰	a̰	Ø	Ø	ɯ	1	*a̰/i/ə̰		115
