Grapheme	Segments	Structure	Unicode	Frequency	Reflexes
kʰɹ	kʰ ɹ	i m	U+006b U+02b0 U+0020 U+0279	1	Atsi
sj	s j	i m	U+0073 U+0020 U+006a	1	Bola
xɹ	x ɹ	i m	U+0078 U+0020 U+0279	1	Hpun
l	l	i	U+006c	159	Hpun,Bola,Maru,Achang,Atsi,Lashi
m	m	i	U+006d	140	Hpun,Bola,Achang,Lashi,Atsi,Maru
n	n	i	U+006e	134	Hpun,Bola,Atsi,Achang,Maru,Lashi
ʃ	ʃ	i	U+0283	90	Bola,Maru,Achang,Lashi,Atsi,Hpun
g	g	i	U+0067	83	Hpun,Achang,Atsi,Maru,Lashi
ɂ	ɂ	i	U+0242	82	Bola,Hpun,Lashi,Achang,Maru,Atsi
s	s	i	U+0073	82	Bola,Hpun,Achang,Atsi,Maru,Lashi
kʰ	kʰ	i	U+006b U+02b0	81	Bola,Hpun,Achang,Lashi,Atsi,Maru
b	b	i	U+0062	80	Achang,Atsi,Maru,Lashi
tʰ	tʰ	i	U+0074 U+02b0	64	Bola,Hpun,Achang,Atsi,Maru,Lashi
d	d	i	U+0064	63	Achang,Atsi,Lashi,Maru
ŋ	ŋ	i	U+014b	60	Bola,Hpun,Achang,Atsi,Lashi,Maru
k	k	i	U+006b	43	Lashi,Maru,Atsi,Hpun,Achang,Bola
pʰ	pʰ	i	U+0070 U+02b0	29	Bola,Hpun,Lashi,Atsi,Maru,Achang
h	h	i	U+0068	28	Maru,Hpun,Lashi,Achang,Atsi
t	t	i	U+0074	27	Atsi,Maru,Hpun,Achang,Bola
p	p	i	U+0070	24	Lashi,Achang,Maru,Hpun,Bola
ɣ	ɣ	i	U+0263	21	Lashi,Bola,Maru
v	v	i	U+0076	11	Bola,Maru,Atsi
ɹ	ɹ	i	U+0279	10	Lashi,Atsi,Hpun
sʰ	sʰ	i	U+0073 U+02b0	8	Bola,Hpun
x	x	i	U+0078	7	Hpun,Maru,Bola
βʷ	βʷ	i	U+03b2 U+02b7	6	Atsi
f	f	i	U+0066	4	Bola,Lashi,Maru
cʰ	cʰ	i	U+0063 U+02b0	3	Hpun
ʃʰ	ʃʰ	i	U+0283 U+02b0	3	Bola
ɲ	ɲ	i	U+0272	2	Hpun
vʷ	vʷ	i	U+0076 U+02b7	2	Bola,Maru
c	c	i	U+0063	1	Hpun
z	z	i	U+007a	1	Hpun
ʒ	ʒ	i	U+0292	1	Maru
r	r	i	U+0072	1	Hpun
̣ɂ	̣ɂ	i	U+0323 U+0242	1	Maru
ẹɂ	ẹɂ	c	U+1eb9 U+0242	7	Bola,Lashi,Maru
ẹ	ẹ	c	U+1eb9	4	Lashi,Maru,Bola
n	n	c	U+006e	3	Achang,Maru
oŋ	oŋ	c	U+006f U+014b	2	Bola,Lashi
ai	ai	c	U+0061 U+0069	2	Hpun
au	au	c	U+0061 U+0075	1	Atsi
et	et	c	U+0065 U+0074	1	Hpun
ʊɂ	ʊɂ	c	U+028a U+0242	1	Hpun
ʊŋ	ʊŋ	c	U+028a U+014b	1	Hpun
eɂ	eɂ	c	U+0065 U+0242	1	Hpun
jẹk	jẹk	c	U+006a U+1eb9 U+006b	1	Achang
aŋ	aŋ	c	U+0061 U+014b	1	Hpun
ɛ̣ɂ	ɛ̣ɂ	c	U+025b U+0323 U+0242	1	Bola
