NUMBER	GLOSS	SEMANTIC_TAG	TBL_ID	CONCEPTICON_ID	DEFINITION
206	the tail	body, animal	267	1220	The appendage of an animal that is attached to its posterior and near the anus.
207	ten	number	806	1515	The cardinal number occurring after nine and before eleven, represented in Roman numerals as X, in Arabic numerals as 10, and in the hexadecimal system (base 16) as A.
208	that	pronoun	947	78	Demonstrative pronoun (feminine, singular): the indicated thing is implied, since it is previously mentioned. Collocation: that of; to that of.
209	there	location	950	1937	In a not completely determined place which is not here.
210	thick	characterization, quantity	980	1244	Relatively large distance from one surface to the opposite in its smallest solid dimension.
211	the thigh	body	100	800	The area between the pelvis and buttocks and the knee.
212	thin (object)	characterization, form	981	2307	Being very narrow (of flat or long objects).
213	to think (reflect)	action	1726	1415	To actively and consciously use one's mental powers, usually to form ideas.
214	this	pronoun	942	1214	The indicated object, item, etc.
215	thou [second person singular]	pronoun	931	1215	The person addressed.
216	three	number	799	492	The third natural number (3).
217	to throw	action	1687	1456	To cause (an object) to move rapidly through the air, with the force of the hand or arm.
218	the thunder	object, phenomenon	8	1150	Sound produced by fast air expansion induced by a lightning.
219	the tiger	animal	304	846	A large carnivorous animal (Panthera tigris) of the cat family indigenous to Asia.
220	today	time	738	1283	On the current day or date.
221	tomorrow	time	742	1329	The day after the present day.
222	the tongue	body	139	1205	The flexible muscular organ in the mouth that is used to move food around, for tasting and that is moved into various positions to modify the flow of air from the lungs in order to produce different sounds.
223	the tooth (front)	body	137	1380	A hard, calcareous structure present in the mouth of many vertebrate animals, generally used for eating.
224	the tree	nature, object	372	906	Any large woody perennial plant with a distinct trunk giving rise to branches or leaves at some distance from the ground.
225	twenty	number	816	1710	The cardinal number occurring after nineteen and before twenty-one, represented in Roman numerals as XX and in Arabic numerals as 20.
226	two	number	798	1498	The cardinal number occurring after one and before three, represented in Roman numerals as II and in Arabic numerals as 2.
227	to vomit	action	1535	1278	To regurgitate the contents of the stomach.
228	to walk	action	1815	1443	To move from one place to another by moving legs alternately, so that at least one foot is in contact with the floor or surface at any one time.
229	the water	nature, substance	47	948	Common liquid (H₂O) which forms rain, rivers, the sea, etc., and which makes up a large part of the bodies of organisms.
230	we [first person plural inclusive]	pronoun	930	1131	inclusive “we”: I and at least one other person, including the addressed person(s) (pronoun 1st person plural with 2nd person)
231	wet	characterisation, state	1029	1726	Covered with or impregnated with liquid.
232	what	pronoun, question	954	1236	Which thing.
233	the wheat	object, food	410	1077	Plant belonging to genus Triticum and to family Poaceae (also known as Gramineae).
234	where	pronoun, question	955	1237	At what place?
235	white	characterisation, color	1006	1335	Bright and colourless; reflecting equal quantities of all frequencies of visible light.
236	who	pronoun, question	953	1235	What person or people; which person or people.
237	the wife	kinship	248	1199	A married woman. 
238	the wind	nature, phenomenon	9	960	The motion of air relative to the earth's surface; usually means horizontal air motion, as distinguished from vertical motion.
239	the wing	body, animal	298	1257	The appendage of an animal's (bird, bat, insect) body that enables it to fly in the air.
240	to wipe	action	1163	1454	To move an object or utensil over a surface or other object while maintaining contact, in order that a substance be removed from its surface.
241	the wolf	animal	324	522	A large wild canid (Canidae), closely related to the dog.
242	the woman	human being	174	962	An adult human member of the sex that produces ova and bears young.
243	the wood (material)	plant, substance	511	1803	The substance making up the central part of the trunk and branches of a tree. Used as a material for construction, to manufacture various items, etc. or as fuel.
244	to sow (broadcast, scatter seeds)	action	1597	748	To scatter or disperse seeds on a field.
245	the year	time	777	1226	The time it takes the Earth to complete one revolution of the Sun (between 365.24 and 365.26 days depending on the point of reference).
246	yellow	characterisation, color	1008	1424	Having the colour of a yolk, a lemon or gold.
247	yesterday	time	739	1174	The day before today.
248	you [second person plural]	pronoun	933	1213	The group of persons addressed.
249	young	characterisation, age	1059	1207	In the early part of growth or life.
250	the shit	body, substance	151	676	To excrete feces from one's body through the anus.
