ID	DOCULECT	DOCULECT_IS	CONCEPT	ID_IS	VALUE	SEGMENTED_VALUE	TOKENS	STRUCTURE	COGID
822	Xiandao	Nishi Xiandao	bamboo steamer	154	puŋ³¹	p uŋ ³¹	p u ŋ ³¹	i n c t	154
823	Lashi	Nishi Leqi/Lashi	bamboo steamer	154	pɔŋ³³-	p ɔŋ ³³ -	p ɔ ŋ ³³ +	i n c t +	154
824	Bola	Nishi Bola	bamboo steamer	154	pauŋ³¹	p auŋ ³¹	p a u ŋ ³¹	i n nn c t	154
825	Achang	Nishi Achang	bamboo steamer	154	-puŋ³¹	- p uŋ ³¹	+ p u ŋ ³¹	+ i n c t	154
826	Atsi	Nishi Zaiwa/Atsi	bamboo steamer	154	puŋ²¹-	p uŋ ²¹ -	p u ŋ ²¹ +	i n c t +	154
1566	Maru	Nishi Langsu/Maru	be	298	ŋat³¹	ŋ at ³¹	ŋ a t ³¹	i n c t	297
1567	Lashi	Nishi Leqi/Lashi	be	298	ŋụ:t⁵⁵	ŋ ụ:t ⁵⁵	ŋ ṵ: t ⁵⁵	i n c t	297
1568	Bola	Nishi Bola	be	298	?ŋɔt⁵⁵	?ŋ ɔt ⁵⁵	?/ŋ ɔ t ⁵⁵	i n c t	297
1569	Atsi	Nishi Zaiwa/Atsi	be	298	ŋụt⁵⁵	ŋ ụt ⁵⁵	ŋ ṵ t ⁵⁵	i n c t	297
1645	Maru	Nishi Langsu/Maru	be accomplished	313	tø³¹	t ø ³¹	t ø ³¹	i n t	312
1646	Xiandao	Nishi Xiandao	be accomplished	313	tut³¹	tu t ³¹	t u t ³¹	i m i t	312
1647	Lashi	Nishi Leqi/Lashi	be accomplished	313	tu:t³¹	t u:t ³¹	t u: t ³¹	i n c t	312
1648	Bola	Nishi Bola	be accomplished	313	tø³¹	t ø ³¹	t ø ³¹	i n t	312
1649	Achang	Nishi Achang	be accomplished	313	tut⁵⁵	tu t ⁵⁵	t u t ⁵⁵	i m i t	312
1650	Atsi	Nishi Zaiwa/Atsi	be accomplished	313	tut²¹	tu t ²¹	t u t ²¹	i m i t	312
1715	Maru	Nishi Langsu/Maru	be afraid	328	kjauk³¹	kj auk ³¹	k j a u k ³¹	i m n nn c t	327
1716	Lashi	Nishi Leqi/Lashi	be afraid	328	kju:k³¹	kj u:k ³¹	k j u: k ³¹	i m n c t	327
1717	Bola	Nishi Bola	be afraid	328	kjauɂ³¹	kj auɂ ³¹	k j a u ʔ ³¹	i m n nn c t	327
1718	Achang	Nishi Achang	be afraid	328	ʐoɂ⁵⁵	ʐ oɂ ⁵⁵	ʐ o ʔ ⁵⁵	i n c t	327
1719	Atsi	Nishi Zaiwa/Atsi	be afraid	328	kjuɂ²¹	kj uɂ ²¹	k j u ʔ ²¹	i m n c t	327
1582	Maru	Nishi Langsu/Maru	be bashful, shy	301	xɔɂ⁵⁵	x ɔɂ ⁵⁵	x ɔ ʔ ⁵⁵	i n c t	300
1583	Xiandao	Nishi Xiandao	be bashful, shy	301	sɔɂ⁵⁵	s ɔɂ ⁵⁵	s ɔ ʔ ⁵⁵	i n c t	300
1584	Lashi	Nishi Leqi/Lashi	be bashful, shy	301	ʃɔ̣:ɂ⁵⁵	ʃ ɔ̣:ɂ ⁵⁵	ʃ ɔ̰: ʔ ⁵⁵	i n c t	300
1585	Bola	Nishi Bola	be bashful, shy	301	xaɂ⁵⁵	x aɂ ⁵⁵	x a ʔ ⁵⁵	i n c t	300
1586	Achang	Nishi Achang	be bashful, shy	301	sɔɂ⁵⁵	s ɔɂ ⁵⁵	s ɔ ʔ ⁵⁵	i n c t	300
1587	Atsi	Nishi Zaiwa/Atsi	be bashful, shy	301	xoɂ⁵⁵	x oɂ ⁵⁵	x o ʔ ⁵⁵	i n c t	300
1667	Maru	Nishi Langsu/Maru	be blind, deaf	318	tʃik³¹	tʃ ik ³¹	tʃ i k ³¹	i n c t	317
1668	Xiandao	Nishi Xiandao	be blind, deaf	318	tsɛt⁵⁵	ts ɛt ⁵⁵	ts ɛ t ⁵⁵	i n c t	317
1669	Lashi	Nishi Leqi/Lashi	be blind, deaf	318	tʃi:t³¹	tʃ i:t ³¹	tʃ i: t ³¹	i n c t	317
1670	Bola	Nishi Bola	be blind, deaf	318	tʃɔt³¹	tʃ ɔt ³¹	tʃ ɔ t ³¹	i n c t	317
1671	Achang	Nishi Achang	be blind, deaf	318	tset⁵⁵	ts et ⁵⁵	ts e t ⁵⁵	i n c t	317
1672	Atsi	Nishi Zaiwa/Atsi	be blind, deaf	318	tʃit²¹	tʃ it ²¹	tʃ i t ²¹	i n c t	317
