Source	Target	Orthography	Frequency	Language	
ɑɑ	a	ā	16	Written_Burmese	
ṁ	m	ṁ	17	Written_Burmese	
b	p	b	1	Written_Burmese	
bʰ	pʰ	bh	5	Written_Burmese	
d	d	d	1	Written_Burmese	
dʰ	dʰ	dh	1	Written_Burmese	
e	e	e	37	Written_Burmese	
g	g	g	1	Written_Burmese	
h	h	h	2	Written_Burmese	
i	i	i	30	Written_Burmese	
j	dʒ	j	37	Written_Burmese	
k	k	k	52	Written_Burmese	
kʰ	kʰ	kh	22	Written_Burmese	
l	l	l	21	Written_Burmese	
m	m	m	45	Written_Burmese	
n	n	n	31	Written_Burmese	
ȵ	ŋʲ	ññ	12	Written_Burmese	
o	o	o	39	Written_Burmese	probably ɔ in the original STEDT data
p	p	p	35	Written_Burmese	
pʰ	pʰ	ph	9	Written_Burmese	
r	r	r	38	Written_Burmese	
s	ts	c	30	Written_Burmese	
t	t	t	29	Written_Burmese	
tʰ	tʰ	th	8	Written_Burmese	
tθ	s	s	30	Written_Burmese	
u	u	u	26	Written_Burmese	
w	w	v	27	Written_Burmese	
²	²		101	Written_Burmese	
³	³		102	Written_Burmese	
¹	¹		63	Written_Burmese	
ŋ	ŋ	ṅ	43	Written_Burmese	
ɑ	a	a	147	Written_Burmese	
ɒ	a	a	1	Written_Burmese	must be an error in the data
ɔ	o	o	25	Written_Burmese	
⁴	⁴		64	Written_Burmese	
◦	+		81	Xiandao	
ɲ̇	?		1	Xiandao	
ɔ̆	?		2	Xiandao	
ɲ̊	?		3	Xiandao	
a	a		91	Xiandao	
c	c		11	Xiandao	
ch	cʰ		9	Xiandao	
f	f		6	Xiandao	
i	i		44	Xiandao	
j	j		8	Xiandao	
k	k		30	Xiandao	
kh	kʰ		1	Xiandao	
kʰ	kʰ		2	Xiandao	
l	l		17	Xiandao	
l̥	l̥		3	Xiandao	
m	m		36	Xiandao	
m̥	m̥		4	Xiandao	
n	n		38	Xiandao	
ȵ	nʲ		1	Xiandao	
n̥	n̥		8	Xiandao	
n̩	n̩		2	Xiandao	
o	o		18	Xiandao	
p	p		25	Xiandao	
ph	pʰ		5	Xiandao	
s	s		17	Xiandao	
t	t		33	Xiandao	
ʦ	ts		1	Xiandao	
ts	ts		7	Xiandao	
ʦh	tsʰ		1	Xiandao	
tsh	tsʰ		3	Xiandao	
tʂ	tʂ		2	Xiandao	
tʰ	tʰ		1	Xiandao	
th	tʰ		3	Xiandao	
u	u		60	Xiandao	
v	v		1	Xiandao	
x	x		11	Xiandao	
³¹	³¹		112	Xiandao	
³⁵	³⁵		25	Xiandao	
ç	ç		7	Xiandao	
ă	ă		1	Xiandao	
ŋ	ŋ		33	Xiandao	
ŋ̊	ŋ̊		3	Xiandao	
ɔ	ɔ		58	Xiandao	
ɕ	ɕ		2	Xiandao	
ɛ	ɛ		22	Xiandao	
ɤ	ɤ		6	Xiandao	
ɯ	ɯ		13	Xiandao	
ɲ	ɲ		11	Xiandao	
ɳ	ɳ		1	Xiandao	
ɿ	ɿ		5	Xiandao	
ʂ	ʂ		15	Xiandao	
ʈ	ʈ		1	Xiandao	
tʂh	ʈʂʰ		4	Xiandao	
ʐ	ʐ		23	Xiandao	
ʔ	ʔ		35	Xiandao	
⁵³	⁵³		1	Xiandao	
⁵¹	⁵¹		3	Xiandao	
⁵⁵	⁵⁵		132	Xiandao	
