	Mann number	Nishi Number	WB	OB	Reconstruction	Nishi meaning	Nishi Achang	Nishi Achang source	Nishi Xiandao	Nishi Xiandao source	Nishi Zaiwa/Atsi	Nishi Zaiwa/Atsi source	Nishi Leqi/Lashi	Nishi Leqi/Lashi source	Nishi Langsu/Maru	Nishi Langsu/Maru source	Nishi Bola	Nishi Bola source
		112	khyuiḥ			snap, break	khʐau³¹	Sun1991	khʐau³¹	Sun1991	khjui²¹	Sun1991	-khja:u⁵⁵	Sun1991	khjuk⁵⁵	Sun1991	khju³⁵	Sun1991
	236a	113	-khyoṅḥ			throat	khʐoŋ³¹-	Sun1991	khʐoŋ³¹-	Sun1991	khjuŋ²¹-	Sun1991	khjuŋ⁵⁵	Sun1991	khjauŋ³⁵	Sun1991	khjauŋ³⁵	Sun1991
		114	-khwā-			cucumber	-xo³¹	Sun1991	-xo³¹	Sun1991	-kho²¹	Sun1991	-kho⁵⁵	Sun1991	-khu³⁵	Sun1991	-khɔ³⁵	Sun1991
		115	khwan			setence CL	xun³¹	Sun1991	xon³¹	Sun1991	khun²¹	Sun1991	khuan⁵⁵	Sun1991	khum³⁵	Sun1991	khɔn³⁵	Sun1991
94	346a	116	pāḥ		ɂp-	thin							pɔ̣:⁵⁵	Sun1991	pɔ̣̃³⁵	Sun1991	pạ³⁵	Sun1991
		117	mīḥ-roṅḥ			bamboo blower							-pjụŋ⁵⁵	Sun1991	-pjạuŋ̣̃³⁵	Sun1991	-pjạuŋ̣̃³⁵	Sun1991
		118	thāḥ			put in order					tọ²¹	Sun1991	tɔ̣:⁵⁵	Sun1991	tɔ̣̣³⁵	Sun1991	tạ³⁵-	Sun1991
		119	thūḥ			to answer	thu³¹	Sun1991			tụ²¹	Sun1991	tụ:⁵⁵	Sun1991	tạu³⁵	Sun1991	tụ³⁵	Sun1991
		120				rope, string	toi³¹	Sun1991	tui³¹	Sun1991	tụi²¹	Sun1991	tə̣⁵⁵	Sun1991	tɔ̣̣i⁵⁵	Sun1991	tụi³⁵	Sun1991
		121	taṅḥ			tense, tight, taut							tə̣:ŋ⁵⁵	Sun1991	tạŋ³⁵	Sun1991	tạŋ³⁵	Sun1991
		122				point at/to/out					tun²¹	Sun1991	tụ:n⁵⁵	Sun1991	tụm³⁵	Sun1991	tɔ̣̣n³⁵	Sun1991
	236b	123	chuiḥ			to cough	tʂhau³¹	Sun1991	tʂau³¹	Sun1991	tsạu²¹	Sun1991	tsạ:u⁵⁵	Sun1991	tsụk⁵⁵	Sun1991	tạu³⁵	Sun1991
		124		khiyḥ		borrow (money)					tʃi²¹	Sun1991	tʃẹ:i⁵⁵	Sun1991	tʃịk⁵⁵	Sun1991	tʃị³⁵	Sun1991
		125				separate	khuaŋ³¹	Sun1991			kạŋ²¹	Sun1991	kạ:ŋ⁵⁵	Sun1991	kɛ̃⁵⁵	Sun1991	-kɛ̃³⁵-	Sun1991
	121a	126	-ɂūḥ			head	u³¹-	Sun1991	u³¹-	Sun1991	ụ²¹-	Sun1991	wɔ̣⁵⁵-	Sun1991	au³⁵-	Sun1991	ụ³⁵-	Sun1991
		127	-ɂuiḥ			large iron work	au³¹	Sun1991	au³¹	Sun1991	-au²¹	Sun1991	-ou⁵⁵	Sun1991	-ụk⁵⁵	Sun1991	-ạu³⁵	Sun1991
93	164a	128	sweḥ			blood	sui³¹	Sun1991	sui³¹	Sun1991	sui²¹	Sun1991	sui⁵⁵	Sun1991	sï³⁵	Sun1991	sï³⁵	Sun1991
		129	sweḥ			whet(knife)	soi³¹	Sun1991	sui³¹	Sun1991	sui²¹	Sun1991	sï³⁵	Sun1991	sui³⁵	Sun1991	sui³⁵	Sun1991
	324a	130	sumḥ			three	sum³¹	Sun1991	sum³¹	Sun1991	sum²¹	Sun1991	sɔm⁵⁵	Sun1991	sam³¹	Sun1991	sam³⁵	Sun1991
85	143a	131	saññḥ			liver	-ʂəŋ³¹	Sun1991	-ʂɯŋ³¹	Sun1991	siŋ²¹	Sun1991	səŋ⁵⁵	Sun1991	saŋ³⁵	Sun1991	saŋ³⁵	Sun1991
74	150a	132	-sañḥ			(finger)nail	-ʂəŋ³¹	Sun1991	-ʂɯŋ³¹	Sun1991	-siŋ²¹	Sun1991	-səŋ⁵⁵	Sun1991	saŋ³⁵	Sun1991	-saŋ³⁵	Sun1991
		133	swā			to walk	so³¹	Sun1991	so³¹	Sun1991	so²¹	Sun1991	sɔ̣:⁵⁵	Sun1991	su³⁵	Sun1991	sɔ³⁵	Sun1991
80	045a	134	sīḥ			fruit	ʂə³¹	Sun1991	ʂï³¹	Sun1991	ʃi²¹	Sun1991	ʃï⁵⁵	Sun1991	ʃï³⁵	Sun1991	ʃï³⁵	Sun1991
