Button_number	Mann_number	Nishi_Number	Mann_meaning	Achang	Zaiwa	Lashi	Maru	Bela	Phon
	119b		head	lɔm⁵³	lụm³¹	lø̃m⁵¹		lam⁵²	
	120a		face	njɔɂ⁴³	mjɔɂ³²	mjɔ̃ɂ⁴	mjɔɂ³	mjaɂ²³	
	120b		face	nɔ̣³¹		nɔ̃³	nɔ³		
	121a	126	brain	ɂu⁴⁵	ɂu³⁴	wə⁵	ɂau³	ɂu	ɂo³¹
	121b		brain	nuk⁴²	nuɂ⁵	noɂ⁵¹	nauɂ⁴²	nauɂ²³	nokɂ³¹
	122a	9	hair	tsʰam³	tsʰam⁵³	tsʰæm⁵³	tsʰe⁴¹	tsʰi³	sʰɛ⁵⁵
	123a		forehead	ŋa³	ŋɔt³	ŋə³	ŋa³		
	123b		forehead	laŋ³	laŋ³¹	laŋ³	la²		
	124a		eyebrow	mi³²	mau³	mɨ³		mauŋ²³	
71	125a	335	eye	njɔɂ³	mjɔɂ³²	mjɔ̃ɂ⁴	mjɔɂ³²	mja²³	juɂ³¹
	125b		eye	dʒi⁴³	dʒi³			tsi²³	si³¹
	126a		eyelid	kụk⁵⁴	kụɂ⁵	gok⁵³			
66	127a	61	nose	nɔ̣³	nɔ⁵³	nũ³	nọ⁴¹	nã³	naɂ⁵⁵
	128a		cheek	bə⁴	bu³	bə³	bə³²		pa³¹
	128b		cheek	lɔt⁴³		loiɂ³²			
88	129a		ear	nɔ³	nɔ³	nai³	no³	ne³	na³¹
	129b		ear		kʰjæp⁵	kʰjæp⁵³		kjɛ²³	
	130a	295	mouth	nụə̣t⁵⁴	nʊ̣t⁵	nọịɂ⁵²	nạt⁵⁴		
	131a		tongue		mui³¹		ʃɔ⁵¹	ʃʰa⁵²	
	131b		tongue	djɔ̣³		jɔ⁴³			jaɂ⁵⁵
	132a		saliva		kan³¹	gain⁵³	kʰət³	kiɂ²³	
	132a		saliva	dʒei⁵					tʰwi
	133a		tooth						sɛ
	134a		gums	njeŋ³¹			njɛn³¹		
	135a		chin	ɂam³	ɂam⁵	ɂæm³	ɂe³²		
	135b		chin	tʃʰam⁵	tʰaŋ⁵³	tʃʰæm⁴			
	136a		beard	nɔ̣t⁵⁴	nʊ̣t⁵	nọịɂ⁵³	nạịɂ⁵⁴	nau⁵²	
	136b		beard	mi⁴²	mui³¹	mɨ³²	mọk⁴	mjɛ⁵²	
	137a	353	shave (beard)	juk⁴³		gjɛt⁴			
	138a		back	noŋ⁵		noŋ⁴⁵			
	138b		back	kʰoŋ³	kʰuŋ⁵³	kʰoŋ³¹			tʰaŋ
	139a	200	abdomen	wom³	βʷam³	wɛm³		xuĩ³	
	139b		abdomen	dau³	dau³¹	dau³²	duk³²	tau⁵²	
	140a	263	navel	tʃʰɔɂ⁵⁴	tʃʰɔɂ⁵⁴	tʃʰɔɂ⁵³	tʃʰoɂ⁵⁴		sʰɛɂ³¹
	141a	296	heart	nạịk⁵⁴	nɪ̣k⁵	nək⁵⁴		nak⁵²	
	141b		heart	lam³²	lum³¹	lɛm²		lam⁵²	laŋ³¹
	142a	275	lungs	tsʰɔt⁵³		tsọịɂ⁵³		tsạɂ⁵²	ʃwaiɂ³¹
85	143a	131	liver	tjɛ̣n⁵	sin⁴²	səŋ⁵	saŋ³²	saŋ²³	ʃaiŋ³¹
	144a		intestines	ɂu³	ɂu⁵¹	wu⁴	ɂau³¹	wu³	
	145a	355	hand	lɔɂ⁴²	lɔɂ³²	lɔ̣ɂ³	loɂ³²	lạ⁵²	lʊɂ³¹
	146a		elbow	man⁵	mun³⁴	moi⁴⁵	mạịt⁵		
	146b		elbow	tʰuŋ⁵	tʰuŋ⁴	tʰuŋ⁵³	tʰauŋ²		
	146c		elbow	gue³		gue⁵³			
	147a		armpit			tʃʰæp⁵³	tʃʰɛɂ⁴³		
	147b		armpit			kʰjoŋ⁴	kʰæuŋ⁴²		
	149a	140	finger	njæ̣ụ⁵	njui³¹	njạụ⁵	njọɂ⁵	njạụŋ²³	
74	150a	132	nail	sai⁵	siŋ³¹	səŋ⁴	saŋ⁴³	saŋ²³	ʃaiŋ³¹
	151a		buttocks	tʃʰoɂ⁵³	tʃʰə⁵	tʃʰoŋ⁵³			
	153a		thigh	daŋ⁵	daŋ³²	daŋ⁵		toŋ²³	
	153b		thigh	bau⁵	bau³	bau⁴	bauŋ³¹	pau⁵²	
	154a		knee	pʰə⁵		bue⁵³	pạt⁵		
	154b		knee	luk⁵⁴		loɂ³²	lauɂ³		
	154c		knee	tʃʰap⁵⁴					chiɂ⁵⁵
	155a		calf	pụɂ⁵⁴	bu³	buɂ⁵³	bau³		
	156a		shin	njạŋ⁵	mjạŋ³²		mạ⁴		
	156b		shin	kạŋ³		gaŋk⁵²	kạụŋ⁴		
	157a	18	foot	kʰjei³	kʰji⁵³	kʰje⁵³	kʰit⁵³	kʰi³	kʰi⁵⁵
	158a		heel		tʰaŋ⁴³	tʰuŋ⁴	tʰauŋ²		tʰaŋ³¹
	159a		bone	ʃe³	ʃə⁴³	ʃe⁵⁴	ʃɪ⁴³	ʃʰu	
78	159b	189	bone	jæu³	wị³²	jau⁴¹	ɣok³		ɹu³¹
	160a		rib	nam³¹	nam³²	nam³¹	nɛ³		
	160b		rib		tʃʰam³²	tʃʰam⁵⁴	tʃʰe⁴²		
22	161a	135	flesh	ʃɔ⁵	ʃɔ³¹	ʃu⁵	ʃɔ³²		ʃa³¹
	162a		fat	tsʰɨu³		tsʰu³²	tsʰau³¹		ʃaiŋ⁵⁵
	163a		skin	jei³¹		je⁵¹			ɹi
93	164a	128	blood	sui⁵	sui⁴²	soi⁵	sa²	sui²³	ʃui³¹
	165a		sweat		bui³²	bje³¹	bau³¹	pau⁵²	
	165b		sweat	gjɛ̣³		kjụ⁵	gjӧ²	kjɛ³	xwai
	166a		pus			fueɂ⁵³	fak⁵		
	167a	111	excrement	kʰjei⁵	kʰi³¹	kʰei⁵	kʰiɂ⁵⁴		
	168a		urine	jẹị⁵	ɂi³	jẹ⁵	ɂịt⁵		
	168b		urine		ʃi⁵³				sʰi³¹
	169a	349	man		juɂ⁴			jauɂ⁵²	jok⁵⁵
	169b		man		ge³¹	ge⁵¹	gai³¹	kai⁵²	
	170a		woman	mɛ³¹	mi³	me⁴	mjɪ²	mɛ³	mi⁵⁵
	170b		woman			je⁴	ɣe²	ɣɛ⁵²	
	171a		person	dju³¹		bju⁵¹	bju³¹	pju³	
	172a		father	ɂa³	ɂə	ɂa³	jɪp²	ɂa	ɂə
	172b		father	ba⁵		pʰoɂ⁵³	pʰɔ⁴³	va³	pʰa
	173a		mother	ɂuŋ³		ɂa³		ɂa	ɂə
	173b		mother	wɛ³¹		jẹɂ⁵³	jɪp²		ji³¹
	173c		mother			noŋ	mị⁴²		
42	174a		child	ʃaŋ³	ʃaŋ⁵³				sə
	174b		child		dʒə³	dzu⁴	dzo³²		
	174c		child	lə³					
33	175a		son-in-law	mɔɂ⁴³		mɔɂ⁴			moɂ³¹
	175b		son-in-law		ɂạụ⁵³		ɂok⁴²		
	176a		husband	jɛ̣n⁴	jạŋ³	jok³	jạm³²		
	176b		husband	sain⁴³			saŋ²¹		
	176c		husband		laŋ⁵³			loŋ³	lo⁵⁵
	176d		husband	pʰɔɂ³¹			pʰo³		
	177a		wife	njịɂ³⁴	mi³¹	me⁴	mị⁴	mi⁵²	mi⁵⁵
	178a		widow	tʃʰau⁵	tʃʰui³²	tʃʰau⁵⁴	tʃʰuk⁵⁴		
	178b		widow	mu⁵	mɔ³	mɔ̃⁴	mɔ⁴		mai³¹
	179a		elder sibling	ɂa³	ɂa⁴⁵	ɂa⁴	jə²	ɂa³	
	179b		elder sibling	maŋ³	maŋ⁵³	maŋ⁴	ma²		mo³¹
	180a		younger sibling	nu⁵		nõŋ⁵	nauŋ³²	nauŋ⁵²	
	181a		friend	djɛn³¹		bjeŋ⁵³	bjɪn²¹	pui³	
	181b		friend	tʃʰaŋ⁵	dzum³	tʃʰaŋ⁵	tʃʰa²		
72	182a	51	name	njeŋ³¹	mjɪŋ³¹	mjəŋ³¹	mạŋ³¹	maŋ²³	maiŋ⁵⁵
	183a	71	village	wʊ³	wa³¹	wə⁴	vo²	wa²³	wa⁵⁵
	183b		village	kʰau³		goŋ⁵¹	kʰauŋ²		kʰə
	184a		road, path		kʰjɔ⁵³	kʰjɔ⁴	kʰjɔ⁵¹	kʰja⁵²	kʰə
13	184b		road, path	lụ³					ɹi³¹
	185a	36	boat		lạị⁵³	lẹɂ⁵⁴	lạ³¹		liɂ⁵⁵
	185b		boat		wi³		ɣit²		
	186a	25	house	jẹn³	ɂjụm⁵³	jɛ̣m⁴	jạm³¹	jạm²³	ɂaiŋ⁵⁵
	187a		door	kʰuam⁵	kʰum³¹	kʰæm⁴	kʰam³	kʰam²³	
	188b		window		dɔŋ³¹	duaŋ³¹			
	188c		window	baiɂ⁴¹					
	189a		roof	kʰoŋ³	kʰuŋ⁵³	kʰoŋ⁴²	kʰauŋ³¹		kʰauŋ⁵⁵
	190a		under house	dʒei³¹	gi⁴³	ge⁵	git³		
	191a		wall of house	dʒə̣³	tsʰə⁵⁴			tsʰi	tʰo⁵⁵
	192a		mat	tʰan³	tʃʰə⁴	tʰãɪ⁵²	tʰɪn⁴¹		
	192b		mat		pʰjɔ⁵³				
	193a		pillow	ɂu⁵	ɂu³	wə⁵	ɂau²		ɂaiɂ³¹
	193b		pillow	kʰɨɂ⁵³	kʰuɂ⁵⁴	kʰoɂ⁵³	kʰau³		
	194a		blanket	mi³¹		mẹị⁵¹	mai³²		
	194b		blanket		pʰə³		pʰoɂ⁴		
	194c		blanket		dʒɔŋ³⁴				
	195a		clothing		bu³¹		bau²	pụ⁵²	
	196a		weave (cloth)		kan³²	gain³	gɪn⁴	ɣa⁵²	
	196b	350	weave (cloth)	jɔɂ³¹	wɔɂ³	jɔ̣ɂ³	ɣoɂ³²		rʊɂ³¹
	197a	99	dye (cloth)	tsʰau⁵		tʃụɛ̣m⁴¹	tsʰo⁵⁴		ʃo³¹
	198a		sarong	lụ⁵		lo⁴			
	198b		sarong				kạŋ³²		
	199a		trousers	kʰjaɂ⁵³	kʰap³²	kʰjaɂ⁵³			
	200a	266	sew	tʃʰoap⁵¹	kʰjup⁵⁴	tʃʰuɛp⁵³	kʰjæp⁵		xɹaɂ³¹
	201a		needle	ŋạp⁵⁴	ɂạp⁵	ŋæ̃p⁵³	ŋẹɂ⁵⁴	neɂ⁵²	
	202a		comb	tjẹ⁵	da³			tụị²³	
	202a		comb			bi⁵	bje³²		pʰje³¹
	203a		ring	lɔɂ³²	lɔɂ³²	lɔ̣ɂ³	loɂ³²		
	203b		ring			bain⁴	pẹn²		
	203c		ring	kjɔ̣p⁵³	dʒɔp⁵⁴				
	205a		cooking pot	ɂau⁵		ɂau⁵	ɂọk⁵⁴		oɂ⁵⁵
	206a		ladle	mɔət⁴¹	mə³	mọịɂ³			mui³¹
	207a		mortar	tsʰɔm³	tsʰum⁵³	tsʰæm⁴³	tsʰam⁴¹		
	208a		pestle	tʰuŋ⁵	tʰuŋ³⁴	tʃʰaŋ⁴⁵	tʃʰa³²		ci⁵⁵
	208b		pestle	kjẹị³	gi⁵³	ge³¹			
	209a		spoon	mɔt⁴²		moiɂ³			
	209b		spoon		dʒɔ⁵³	dzɔ³			
	210a		plate	ban³¹		bãɪ⁵¹	ban³¹		
	210b		plate		dzaŋ³¹		dzo³²		
	211a		firewood	tʰaŋ⁵	tʰaŋ³¹	tʰaŋ⁴	tʰa³²		tʰo³¹
58	212a	172	fire	nji³	mị³¹	mɪ⁴	mi⁴³	mi⁵²	mi³¹
	213a		ashes				kʰjum⁴³		
	213b		ashes	jap⁴²	vap⁵	jæp³			
	214b	107	smoke	kʰau⁵	kʰau³¹	kʰau⁵	kʰoɂ⁵⁴	kʰau²³	kʰu³¹
	215a		candle	pʰə³	bjɔ³				
	215b		candle		dziŋ⁵	dzəŋ⁵¹	tsạŋ⁴¹		
	215c		candle	jæuŋ⁵					
